,Map,Shield,Grid,coll_train,acc_0_train,inter_0_train,acc_1_train,inter_1_train
2942,Pentagon,1,1,0.0,-952.3,9.0,-935.0,20.5
2943,Pentagon,1,1,0.0,-273.0,2.4,-253.1,3.9
2944,Pentagon,1,1,0.0,-306.9,2.5,-272.5,3.1
2945,Pentagon,1,1,0.0,-249.8,1.8,-206.2,1.9
2946,Pentagon,1,1,0.0,-441.8,3.2,-416.7,2.7
2947,Pentagon,1,1,0.0,-507.3,14.1,-482.9,15.4
2948,Pentagon,1,1,0.0,-123.8,1.4,-104.0,1.3
2949,Pentagon,1,1,0.0,-570.5,6.1,-526.0,5.4
2950,Pentagon,1,1,0.0,-468.4,2.1,-460.6,5.9
2951,Pentagon,1,1,0.0,-298.8,1.8,-261.4,3.1
2952,Pentagon,1,1,0.0,-230.7,2.2,-215.9,4.9
2953,Pentagon,1,1,0.0,-359.2,2.4,-307.3,3.1
2954,Pentagon,1,1,0.0,-167.8,2.3,-150.8,2.8
2955,Pentagon,1,1,0.0,-214.2,2.6,-183.4,1.9
2956,Pentagon,1,1,0.0,-94.0,2.6,-77.9,1.5
2957,Pentagon,1,1,0.0,-252.5,2.0,-232.7,1.8
2958,Pentagon,1,1,0.0,-805.3,9.5,-790.0,9.6
2959,Pentagon,1,1,0.0,-362.1,2.2,-338.2,5.9
2960,Pentagon,1,1,0.0,-588.7,9.7,-562.0,4.6
2961,Pentagon,1,1,0.0,-354.7,3.3,-318.1,2.5
2962,Pentagon,1,1,0.0,-412.1,4.0,-365.0,2.9
2963,Pentagon,1,1,0.0,-854.7,4.2,-791.1,5.2
2964,Pentagon,1,1,0.0,-807.2,5.0,-760.5,6.0
2965,Pentagon,1,1,0.0,-207.2,2.1,-179.5,0.9
2966,Pentagon,1,1,0.0,-223.8,3.2,-189.3,0.8
2967,Pentagon,1,1,0.0,-382.0,4.7,-336.3,3.5
2968,Pentagon,1,1,0.0,-778.6,5.6,-791.3,8.1
2969,Pentagon,1,1,0.0,-243.4,0.9,-260.5,2.3
2970,Pentagon,1,1,0.0,-115.2,2.1,-100.2,1.3
2971,Pentagon,1,1,0.0,-462.7,8.0,-420.4,3.2
2972,Pentagon,1,1,0.0,-505.2,5.2,-416.1,1.9
2973,Pentagon,1,1,0.0,-262.3,3.7,-238.2,2.8
2974,Pentagon,1,1,0.0,-570.6,4.5,-549.3,5.7
2975,Pentagon,1,1,0.0,-502.0,6.3,-449.9,5.2
2976,Pentagon,1,1,0.0,-468.4,2.9,-421.9,2.8
2977,Pentagon,1,1,0.0,-345.0,2.4,-319.5,1.5
2978,Pentagon,1,1,0.0,-639.5,3.9,-632.1,6.7
2979,Pentagon,1,1,0.0,-546.6,3.0,-492.6,2.8
2980,Pentagon,1,1,0.0,-339.4,3.3,-310.4,2.2
2981,Pentagon,1,1,0.0,-239.0,1.5,-220.5,1.5
2982,Pentagon,1,1,0.0,-301.8,1.7,-287.9,1.1
2983,Pentagon,1,1,0.0,-373.3,3.1,-335.7,2.0
2984,Pentagon,1,1,0.0,-330.2,1.4,-298.5,2.3
2985,Pentagon,1,1,0.0,-281.4,1.7,-277.4,1.6
2986,Pentagon,1,1,0.0,-502.1,4.2,-442.5,2.4
2987,Pentagon,1,1,0.0,-232.8,1.1,-212.8,1.5
2988,Pentagon,1,1,0.0,-565.4,4.1,-494.0,1.8
2989,Pentagon,1,1,0.0,-437.3,2.0,-398.5,3.5
2990,Pentagon,1,1,0.0,-138.8,1.6,-116.2,1.1
2991,Pentagon,1,1,0.0,-369.9,1.3,-342.7,1.5
2992,Pentagon,1,1,0.0,-343.0,10.1,-328.2,10.4
2993,Pentagon,1,1,0.0,-237.6,0.8,-232.3,1.7
2994,Pentagon,1,1,0.0,-513.2,2.3,-469.7,1.9
2995,Pentagon,1,1,0.0,-536.9,2.2,-490.8,3.4
2996,Pentagon,1,1,0.0,-473.5,2.2,-438.6,2.0
2997,Pentagon,1,1,0.0,-346.6,1.9,-319.5,1.5
2998,Pentagon,1,1,0.0,-377.8,2.5,-352.0,1.5
2999,Pentagon,1,1,0.0,-381.3,1.6,-320.4,1.2
3000,MIT,1,1,0.0,-976.8,6.4,-972.4,8.7
3001,MIT,1,1,0.0,-545.2,5.9,-1026.6,7.2
3002,MIT,1,1,0.0,-564.2,6.4,-788.6,6.9
3003,MIT,1,1,0.0,-707.8,3.9,-678.8,4.4
3004,MIT,1,1,0.0,-818.2,6.0,-597.6,4.7
3005,MIT,1,1,0.0,-840.0,5.8,-616.2,4.2
3006,MIT,1,1,0.0,-433.8,4.6,-746.8,5.3
3007,MIT,1,1,0.0,-581.4,5.7,-686.0,6.7
3008,MIT,1,1,0.0,-947.4,9.5,-872.2,7.9
3009,MIT,1,1,0.0,-1011.6,10.2,-799.6,7.2
3010,MIT,1,1,0.0,-454.4,4.0,-1037.4,4.8
3011,MIT,1,1,0.0,-1118.0,9.0,-1034.6,8.6
3012,MIT,1,1,0.0,-458.8,5.2,-629.6,6.4
3013,MIT,1,1,0.0,-628.0,6.9,-737.2,6.7
3014,MIT,1,1,0.0,-416.0,5.7,-580.6,5.9
3015,MIT,1,1,0.0,-571.6,5.3,-909.8,9.0
3016,MIT,1,1,0.0,-957.1,8.7,-1120.2,9.8
3017,MIT,1,1,0.0,-909.8,6.8,-660.0,5.9
3018,MIT,1,1,0.0,-460.2,5.0,-676.8,6.1
3019,MIT,1,1,0.0,-695.6,6.5,-589.6,3.9
3020,MIT,1,1,0.0,-463.2,5.2,-778.6,5.1
3021,MIT,1,1,0.0,-609.2,5.3,-671.6,5.5
3022,MIT,1,1,0.0,-624.6,5.7,-691.6,4.1
3023,MIT,1,1,0.0,-496.4,4.7,-739.6,6.4
3024,MIT,1,1,0.0,-480.0,5.2,-529.8,4.6
3025,MIT,1,1,0.0,-502.8,4.2,-677.6,5.5
3026,MIT,1,1,0.0,-554.4,7.7,-874.6,6.7
3027,MIT,1,1,0.0,-413.4,3.4,-415.4,3.2
3028,MIT,1,1,0.0,-600.4,7.2,-771.2,7.2
3029,MIT,1,1,0.0,-589.6,5.2,-876.0,7.6
3030,MIT,1,1,0.0,-392.4,2.5,-589.2,3.4
3031,MIT,1,1,0.0,-181.0,1.2,-290.6,2.7
3032,MIT,1,1,0.0,-159.2,2.1,-439.0,2.5
3033,MIT,1,1,0.0,-871.0,7.3,-805.0,6.1
3034,MIT,1,1,0.0,-554.4,5.7,-665.6,5.4
3035,MIT,1,1,0.0,-254.0,3.1,-488.2,2.4
3036,MIT,1,1,0.0,-457.2,5.9,-530.8,4.1
3037,MIT,1,1,0.0,-541.0,6.9,-626.2,5.2
3038,MIT,1,1,0.0,-653.2,6.9,-991.8,6.9
3039,MIT,1,1,0.0,-670.2,6.2,-837.2,7.1
3040,MIT,1,1,0.0,-439.6,3.9,-362.2,3.6
3041,MIT,1,1,0.0,-629.4,5.3,-726.0,6.5
3042,MIT,1,1,0.0,-618.6,4.8,-725.6,5.8
3043,MIT,1,1,0.0,-588.8,6.9,-758.6,9.0
3044,MIT,1,1,0.0,-527.8,4.0,-575.8,4.9
3045,MIT,1,1,0.0,-341.0,3.3,-482.0,3.9
3046,MIT,1,1,0.0,-273.4,2.7,-345.4,3.5
3047,MIT,1,1,0.0,-563.4,5.1,-520.4,3.6
3048,MIT,1,1,0.0,-740.0,6.5,-809.0,7.0
3049,MIT,1,1,0.0,-555.6,6.8,-624.8,6.1
3050,MIT,1,1,0.0,-359.2,4.1,-474.0,6.2
3051,MIT,1,1,0.0,-809.6,7.9,-817.4,7.4
3052,MIT,1,1,0.0,-265.4,4.2,-335.0,3.0
3053,MIT,1,1,0.0,-517.4,5.2,-470.0,4.0
3054,MIT,1,1,0.0,-622.6,5.1,-769.2,5.2
3055,MIT,1,1,0.0,-577.2,6.8,-795.0,7.8
3056,MIT,1,1,0.0,-327.4,3.1,-506.8,4.2
3057,MIT,1,1,0.0,-728.0,7.5,-840.2,8.4
3058,MIT,1,1,0.0,-748.2,8.6,-674.4,6.0
3059,MIT,1,1,0.0,-448.2,4.7,-560.0,5.8
3060,MIT,1,1,0.0,-786.6,8.2,-606.2,5.0
3061,MIT,1,1,0.0,-425.8,5.0,-540.6,4.4
3062,MIT,1,1,0.0,-252.8,2.6,-282.8,3.0
3063,MIT,1,1,0.0,-543.6,6.1,-575.6,4.7
3064,MIT,1,1,0.0,-377.8,4.8,-602.2,5.0
3065,MIT,1,1,0.0,-304.6,3.3,-367.8,3.9
3066,MIT,1,1,0.0,-653.6,5.1,-642.0,4.7
3067,MIT,1,1,0.0,-401.4,3.7,-444.8,4.6
3068,MIT,1,1,0.0,-471.0,6.7,-681.4,5.8
3069,MIT,1,1,0.0,-577.4,5.8,-689.6,6.6
3070,MIT,1,1,0.0,-508.8,5.3,-410.4,5.1
3071,MIT,1,1,0.0,-642.0,6.0,-597.2,8.4
3072,MIT,1,1,0.0,-414.2,4.3,-508.2,4.0
3073,MIT,1,1,0.0,-384.2,3.7,-321.8,2.1
3074,MIT,1,1,0.0,-256.0,2.6,-411.8,2.4
3075,MIT,1,1,0.0,-265.8,4.0,-395.0,3.7
3076,MIT,1,1,0.0,-408.8,3.8,-479.4,4.3
3077,MIT,1,1,0.0,-192.6,1.8,-208.2,2.1
3078,MIT,1,1,0.0,-214.2,3.4,-259.2,2.5
3079,MIT,1,1,0.0,-172.2,3.0,-250.6,2.5
3080,MIT,1,1,0.0,-637.0,6.5,-597.4,6.0
3081,MIT,1,1,0.0,-438.2,5.0,-515.8,5.7
3082,MIT,1,1,0.0,-214.4,4.4,-519.6,5.7
3083,MIT,1,1,0.0,-445.2,5.3,-459.6,3.9
3084,MIT,1,1,0.0,-314.6,5.0,-395.4,3.9
3085,MIT,1,1,0.0,-510.8,5.6,-497.4,3.7
3086,MIT,1,1,0.0,-271.6,4.9,-367.6,6.1
3087,MIT,1,1,0.0,-226.0,2.8,-185.2,2.3
3088,MIT,1,1,0.0,-360.0,3.8,-508.0,3.8
3089,MIT,1,1,0.0,-272.8,4.7,-398.4,5.1
3090,MIT,1,1,0.0,-779.6,10.5,-610.0,6.3
3091,MIT,1,1,0.0,-261.8,3.1,-337.8,3.3
3092,MIT,1,1,0.0,-508.2,5.1,-435.6,4.7
3093,MIT,1,1,0.0,-284.4,3.1,-438.8,5.1
3094,MIT,1,1,0.0,-285.2,3.9,-381.4,3.4
3095,MIT,1,1,0.0,-605.2,8.7,-476.2,5.3
3096,MIT,1,1,0.0,-384.0,6.9,-493.8,6.7
3097,MIT,1,1,0.0,-494.8,5.9,-606.0,5.9
3098,MIT,1,1,0.0,-156.6,2.5,-285.2,2.0
3099,MIT,1,1,0.0,-288.2,4.3,-486.2,6.9
3100,MIT,1,1,0.0,-200.2,2.5,-288.2,2.4
3101,MIT,1,1,0.0,-145.2,3.2,-276.0,3.2
3102,MIT,1,1,0.0,-228.8,3.4,-341.0,3.4
3103,MIT,1,1,0.0,-308.2,4.7,-375.4,4.5
3104,MIT,1,1,0.0,-254.6,3.2,-305.4,2.3
3105,MIT,1,1,0.0,-343.6,3.8,-434.6,3.6
3106,MIT,1,1,0.0,-245.2,3.1,-275.4,2.2
3107,MIT,1,1,0.0,-428.4,5.2,-456.0,6.4
3108,MIT,1,1,0.0,-310.8,4.3,-361.6,4.5
3109,MIT,1,1,0.0,-367.0,4.7,-331.4,3.5
3110,MIT,1,1,0.0,-226.6,3.1,-342.6,2.6
3111,MIT,1,1,0.0,-388.6,4.2,-437.2,5.7
3112,MIT,1,1,0.0,-140.6,1.9,-284.6,1.6
3113,MIT,1,1,0.0,-676.2,9.1,-592.2,8.4
3114,MIT,1,1,0.0,-564.0,5.9,-590.0,5.7
3115,MIT,1,1,0.0,-435.6,4.7,-308.0,4.9
3116,MIT,1,1,0.0,-304.4,4.4,-421.4,3.7
3117,MIT,1,1,0.0,-452.2,4.7,-504.8,3.6
3118,MIT,1,1,0.0,-413.6,6.6,-403.4,4.6
3119,MIT,1,1,0.0,-171.0,2.1,-346.6,4.1
3120,MIT,1,1,0.0,-335.8,4.4,-393.2,4.9
3121,MIT,1,1,0.0,-123.4,1.9,-203.4,1.4
3122,MIT,1,1,0.0,-310.0,4.7,-381.0,3.7
3123,MIT,1,1,0.0,-71.0,1.6,-192.2,1.4
3124,MIT,1,1,0.0,-507.4,7.2,-562.4,6.9
3125,MIT,1,1,0.0,-172.0,3.0,-308.0,2.0
3126,MIT,1,1,0.0,-180.0,2.5,-322.0,2.6
3127,MIT,1,1,0.0,-330.6,3.5,-285.4,2.6
3128,MIT,1,1,0.0,-126.4,1.6,-144.6,1.9
3129,MIT,1,1,0.0,-100.4,2.1,-212.4,1.4
3130,MIT,1,1,0.0,-289.4,2.4,-343.0,2.7
3131,MIT,1,1,0.0,-221.8,3.3,-141.2,1.7
3132,MIT,1,1,0.0,-345.0,3.7,-304.8,3.1
3133,MIT,1,1,0.0,-211.8,2.1,-221.6,1.3
3134,MIT,1,1,0.0,-242.8,3.2,-266.0,2.6
3135,MIT,1,1,0.0,-209.0,3.2,-242.2,2.6
3136,MIT,1,1,0.0,-284.0,3.8,-290.8,3.4
3137,MIT,1,1,0.0,-243.0,3.5,-351.8,3.1
3138,MIT,1,1,0.0,-79.6,1.7,-182.2,2.6
3139,MIT,1,1,0.0,-285.0,3.4,-274.4,3.8
3140,MIT,1,1,0.0,-185.6,3.1,-196.8,1.6
3141,MIT,1,1,0.0,-270.6,4.7,-346.6,3.4
3142,MIT,1,1,0.0,-191.6,2.7,-203.8,3.3
3143,MIT,1,1,0.0,-60.6,1.8,-150.6,2.7
3144,MIT,1,1,0.0,-258.6,3.9,-309.2,3.3
3145,MIT,1,1,0.0,-286.0,6.1,-267.2,3.8
3146,MIT,1,1,0.0,-141.8,3.1,-181.8,2.6
3147,MIT,1,1,0.0,-295.0,4.8,-318.8,5.2
3148,MIT,1,1,0.0,-337.8,5.4,-424.2,5.7
3149,MIT,1,1,0.0,-296.0,3.8,-355.4,3.8
3150,MIT,1,1,0.0,-250.6,3.9,-350.6,5.0
3151,MIT,1,1,0.0,-307.4,5.0,-339.0,4.2
3152,MIT,1,1,0.0,-463.8,6.8,-471.8,7.1
3153,MIT,1,1,0.0,-96.6,3.2,-208.4,2.8
3154,MIT,1,1,0.0,-194.6,3.0,-240.4,3.2
3155,MIT,1,1,0.0,-234.6,3.7,-210.4,2.0
3156,MIT,1,1,0.0,-141.8,3.2,-160.8,2.8
3157,MIT,1,1,0.0,-99.6,2.1,-162.0,2.4
3158,MIT,1,1,0.0,-303.0,4.7,-316.2,4.3
3159,MIT,1,1,0.0,-164.8,1.6,-101.4,1.3
3160,MIT,1,1,0.0,-272.2,4.2,-301.8,4.3
3161,MIT,1,1,0.0,-146.4,2.0,-195.0,2.1
3162,MIT,1,1,0.0,-239.8,3.6,-303.4,3.6
3163,MIT,1,1,0.0,-363.4,5.3,-357.0,3.2
3164,MIT,1,1,0.0,-316.0,5.7,-332.2,4.3
3165,MIT,1,1,0.0,-86.6,1.9,-141.6,1.5
3166,MIT,1,1,0.0,-486.2,7.7,-445.6,5.3
3167,MIT,1,1,0.0,-207.2,3.9,-279.0,3.3
3168,MIT,1,1,0.0,-367.4,6.7,-378.4,5.2
3169,MIT,1,1,0.0,-330.6,3.9,-303.8,2.6
3170,MIT,1,1,0.0,-224.6,3.6,-315.4,4.1
3171,MIT,1,1,0.0,-236.0,4.0,-248.4,3.8
3172,MIT,1,1,0.0,-119.0,1.8,-216.8,1.4
3173,MIT,1,1,0.0,-75.6,2.1,-126.6,1.4
3174,MIT,1,1,0.0,-475.4,6.7,-388.0,4.2
3175,MIT,1,1,0.0,-287.8,4.7,-310.4,4.2
3176,MIT,1,1,0.0,-47.2,1.7,-152.0,1.7
3177,MIT,1,1,0.0,-259.2,4.5,-217.2,2.2
3178,MIT,1,1,0.0,-345.4,5.7,-331.4,4.6
3179,MIT,1,1,0.0,-350.4,6.2,-448.6,3.9
3180,MIT,1,1,0.0,-259.0,3.5,-231.8,3.2
3181,MIT,1,1,0.0,-133.6,3.3,-157.8,2.2
3182,MIT,1,1,0.0,-194.4,3.9,-265.2,4.6
3183,MIT,1,1,0.0,-258.6,4.0,-295.2,4.3
3184,MIT,1,1,0.0,-62.4,1.6,-95.2,1.2
3185,MIT,1,1,0.0,-302.4,5.2,-297.2,3.2
3186,MIT,1,1,0.0,-404.4,7.3,-461.2,5.4
3187,MIT,1,1,0.0,-300.4,4.4,-328.0,3.8
3188,MIT,1,1,0.0,-258.6,4.3,-313.4,3.9
3189,MIT,1,1,0.0,-147.2,2.3,-167.6,2.0
3190,MIT,1,1,0.0,-310.2,5.6,-283.6,4.9
3191,MIT,1,1,0.0,-115.6,2.5,-123.8,1.2
3192,MIT,1,1,0.0,-245.6,4.1,-233.0,3.4
3193,MIT,1,1,0.0,-273.8,5.5,-324.4,3.4
3194,MIT,1,1,0.0,-581.0,8.6,-568.0,7.3
3195,MIT,1,1,0.0,-265.4,3.3,-244.8,4.3
3196,MIT,1,1,0.0,47.6,0.3,-10.4,0.5
3197,MIT,1,1,0.0,-159.8,3.3,-190.6,2.3
3198,MIT,1,1,0.0,-332.0,5.7,-289.6,4.7
3199,MIT,1,1,0.0,-202.6,4.0,-198.8,3.7
3200,MIT,1,1,0.0,-379.0,5.6,-422.6,6.7
3201,MIT,1,1,0.0,-169.4,3.0,-175.8,2.0
3202,MIT,1,1,0.0,-233.4,4.5,-325.4,4.6
3203,MIT,1,1,0.0,-115.6,1.3,-193.6,2.4
3204,MIT,1,1,0.0,-15.0,1.3,-70.2,0.6
3205,MIT,1,1,0.0,-306.4,4.8,-230.2,3.5
3206,MIT,1,1,0.0,-423.4,7.3,-409.8,4.9
3207,MIT,1,1,0.0,-138.4,3.1,-158.6,2.1
3208,MIT,1,1,0.0,-287.8,5.2,-285.0,4.4
3209,MIT,1,1,0.0,-233.0,3.8,-272.6,3.5
3210,MIT,1,1,0.0,-363.6,5.8,-341.2,6.0
3211,MIT,1,1,0.0,-428.8,6.9,-479.8,6.1
3212,MIT,1,1,0.0,-355.2,5.8,-293.6,3.3
3213,MIT,1,1,0.0,-260.6,5.2,-185.6,2.8
3214,MIT,1,1,0.0,-152.2,3.5,-198.4,2.0
3215,MIT,1,1,0.0,-149.8,2.3,-182.0,2.6
3216,MIT,1,1,0.0,-456.4,7.4,-386.8,4.4
3217,MIT,1,1,0.0,-130.0,1.5,-134.4,2.0
3218,MIT,1,1,0.0,-311.6,5.6,-364.6,4.1
3219,MIT,1,1,0.0,-162.0,2.4,-179.2,3.0
3220,MIT,1,1,0.0,-121.4,2.5,-180.2,1.9
3221,MIT,1,1,0.0,-78.2,2.3,-144.2,2.0
3222,MIT,1,1,0.0,-316.2,5.8,-344.6,4.7
3223,MIT,1,1,0.0,-137.6,3.2,-172.0,2.6
3224,MIT,1,1,0.0,-142.4,3.4,-223.8,2.4
3225,MIT,1,1,0.0,-368.0,7.5,-394.8,6.2
3226,MIT,1,1,0.0,-214.4,4.3,-254.0,3.3
3227,MIT,1,1,0.0,-287.0,4.9,-291.6,3.8
3228,MIT,1,1,0.0,-306.8,4.3,-358.0,3.8
3229,MIT,1,1,0.0,-289.2,5.1,-331.8,4.7
3230,MIT,1,1,0.0,-113.6,2.3,-132.4,2.1
3231,MIT,1,1,0.0,-154.2,2.7,-165.6,3.1
3232,MIT,1,1,0.0,-30.2,1.2,-92.8,1.3
3233,MIT,1,1,0.0,-58.8,1.3,-115.2,1.7
3234,MIT,1,1,0.0,-168.6,3.9,-218.6,3.3
3235,MIT,1,1,0.0,-267.8,4.6,-225.4,3.4
3236,MIT,1,1,0.0,-313.0,5.6,-300.4,3.4
3237,MIT,1,1,0.0,-362.8,4.7,-404.0,6.4
3238,MIT,1,1,0.0,-261.0,6.4,-249.0,3.8
3239,MIT,1,1,0.0,-189.8,3.7,-187.0,2.8
3240,MIT,1,1,0.0,-194.6,3.5,-170.2,2.8
3241,MIT,1,1,0.0,-226.8,4.2,-214.6,2.9
3242,MIT,1,1,0.0,-70.0,1.7,-95.0,1.3
3243,MIT,1,1,0.0,-215.4,4.6,-246.4,2.9
3244,MIT,1,1,0.0,-182.4,3.0,-194.4,3.1
3245,MIT,1,1,0.0,-289.6,4.6,-304.8,3.7
3246,MIT,1,1,0.0,-164.0,2.0,-158.6,2.4
3247,MIT,1,1,0.0,-156.4,4.5,-149.6,2.6
3248,MIT,1,1,0.0,-67.2,1.7,-106.0,1.5
3249,MIT,1,1,0.0,-65.4,2.3,-84.2,1.1
3250,MIT,1,1,0.0,-376.2,8.6,-337.4,5.1
3251,MIT,1,1,0.0,-218.8,4.7,-184.4,2.7
3252,MIT,1,1,0.0,-332.0,5.4,-355.8,4.1
3253,MIT,1,1,0.0,-117.8,2.4,-173.2,3.3
3254,MIT,1,1,0.0,-204.0,2.7,-188.8,2.2
3255,MIT,1,1,0.0,-207.2,4.1,-213.2,3.4
3256,MIT,1,1,0.0,-183.6,4.2,-195.4,2.5
3257,MIT,1,1,0.0,-373.6,7.1,-407.2,6.5
3258,MIT,1,1,0.0,-345.6,5.8,-330.8,4.3
3259,MIT,1,1,0.0,-42.6,1.9,-77.2,0.7
3260,MIT,1,1,0.0,-154.0,4.3,-220.4,2.4
3261,MIT,1,1,0.0,-234.2,4.7,-255.2,3.4
3262,MIT,1,1,0.0,-74.4,2.3,-104.8,1.4
3263,MIT,1,1,0.0,-278.6,5.2,-237.0,3.2
3264,MIT,1,1,0.0,-15.2,1.1,-21.2,0.9
3265,MIT,1,1,0.0,-47.6,1.4,-90.2,2.1
3266,MIT,1,1,0.0,-90.0,2.4,-145.6,3.0
3267,MIT,1,1,0.0,-227.4,5.4,-263.0,3.8
3268,MIT,1,1,0.0,-163.6,2.5,-160.8,2.3
3269,MIT,1,1,0.0,-290.0,4.9,-303.2,5.7
3270,MIT,1,1,0.0,-496.6,8.0,-467.8,8.3
3271,MIT,1,1,0.0,-40.8,2.0,-42.8,1.5
3272,MIT,1,1,0.0,-107.4,2.4,-159.6,1.8
3273,MIT,1,1,0.0,-197.0,3.0,-186.6,2.3
3274,MIT,1,1,0.0,-297.8,5.1,-299.8,3.7
3275,MIT,1,1,0.0,-44.4,1.4,-84.4,1.9
3276,MIT,1,1,0.0,-328.4,6.0,-314.2,4.9
3277,MIT,1,1,0.0,-373.0,6.1,-366.6,6.0
3278,MIT,1,1,0.0,-413.4,7.3,-369.6,6.3
3279,MIT,1,1,0.0,-133.4,3.3,-103.2,3.3
3280,MIT,1,1,0.0,-469.0,7.3,-425.6,7.3
3281,MIT,1,1,0.0,-208.6,3.8,-198.4,3.2
3282,MIT,1,1,0.0,-181.6,3.2,-219.4,3.9
3283,MIT,1,1,0.0,-314.0,5.6,-292.6,4.9
3284,MIT,1,1,0.0,-239.6,4.3,-265.6,3.1
3285,MIT,1,1,0.0,-75.0,2.1,-109.2,2.2
3286,MIT,1,1,0.0,-109.0,2.5,-123.4,2.2
3287,MIT,1,1,0.0,-193.4,3.6,-184.2,3.6
3288,MIT,1,1,0.0,-217.0,3.4,-230.0,3.8
3289,MIT,1,1,0.0,-125.8,3.7,-130.2,2.0
3290,MIT,1,1,0.0,-281.8,6.0,-285.4,3.5
3291,MIT,1,1,0.0,-296.4,5.7,-260.0,4.2
3292,MIT,1,1,0.0,-149.8,2.9,-157.8,2.4
3293,MIT,1,1,0.0,-184.6,4.1,-217.0,1.9
3294,MIT,1,1,0.0,-239.0,4.7,-279.6,3.2
3295,MIT,1,1,0.0,-248.4,5.0,-203.8,2.9
3296,MIT,1,1,0.0,-345.6,6.6,-362.4,4.7
3297,MIT,1,1,0.0,-134.6,2.1,-133.4,2.9
3298,MIT,1,1,0.0,-134.0,3.4,-154.6,2.9
3299,MIT,1,1,0.0,-174.6,3.4,-168.0,3.2
3300,MIT,1,1,0.0,-313.4,6.7,-268.6,4.5
3301,MIT,1,1,0.0,-304.0,6.3,-229.4,4.0
3302,MIT,1,1,0.0,-373.4,4.3,-333.4,5.7
3303,MIT,1,1,0.0,-148.2,2.7,-132.2,3.2
3304,MIT,1,1,0.0,-183.6,3.4,-155.4,2.4
3305,MIT,1,1,0.0,-413.0,7.1,-321.2,5.2
3306,MIT,1,1,0.0,-260.2,5.9,-224.2,4.7
3307,MIT,1,1,0.0,-243.0,5.2,-228.6,5.0
3308,MIT,1,1,0.0,-314.0,6.2,-284.8,3.7
3309,MIT,1,1,0.0,-170.4,3.8,-199.4,4.1
3310,MIT,1,1,0.0,-114.8,3.8,-136.0,2.4
3311,MIT,1,1,0.0,-226.8,4.2,-238.0,3.1
3312,MIT,1,1,0.0,-144.2,3.5,-145.6,2.7
3313,MIT,1,1,0.0,-13.4,1.5,-82.4,1.3
3314,MIT,1,1,0.0,-307.2,5.8,-277.4,4.5
3315,MIT,1,1,0.0,-60.4,1.9,-66.8,2.0
3316,MIT,1,1,0.0,1.0,1.3,-25.0,0.9
3317,MIT,1,1,0.0,-72.6,2.6,-55.2,1.4
3318,MIT,1,1,0.0,-31.6,1.6,-45.0,1.6
3319,MIT,1,1,0.0,-78.2,2.1,-103.6,2.3
3320,MIT,1,1,0.0,-195.8,4.0,-217.0,2.9
3321,MIT,1,1,0.0,-121.2,2.8,-117.8,3.1
3322,MIT,1,1,0.0,-184.4,3.2,-176.0,4.0
3323,MIT,1,1,0.0,-148.8,3.9,-143.0,2.7
3324,MIT,1,1,0.0,-129.4,4.1,-140.4,1.6
3325,MIT,1,1,0.0,-201.6,3.6,-210.4,3.8
3326,MIT,1,1,0.0,-301.2,6.0,-298.2,3.5
3327,MIT,1,1,0.0,-202.8,4.6,-217.8,3.2
3328,MIT,1,1,0.0,-171.0,3.3,-140.4,2.0
3329,MIT,1,1,0.0,-400.4,7.0,-392.2,5.9
3330,MIT,1,1,0.0,-139.2,4.0,-123.0,1.7
3331,MIT,1,1,0.0,-97.8,2.8,-109.8,1.6
3332,MIT,1,1,0.0,-114.6,2.9,-115.0,1.9
3333,MIT,1,1,0.0,-119.8,3.0,-124.4,2.8
3334,MIT,1,1,0.0,-253.2,5.1,-230.0,4.2
3335,MIT,1,1,0.0,-322.0,5.0,-305.2,5.2
3336,MIT,1,1,0.0,-231.4,6.1,-209.6,3.1
3337,MIT,1,1,0.0,-64.4,2.6,-67.2,3.2
3338,MIT,1,1,0.0,-186.4,3.8,-196.6,4.6
3339,MIT,1,1,0.0,-210.6,4.0,-159.4,3.7
3340,MIT,1,1,0.0,-456.0,8.7,-403.0,7.4
3341,MIT,1,1,0.0,-182.8,3.2,-180.8,3.4
3342,MIT,1,1,0.0,-198.2,4.7,-225.0,2.9
3343,MIT,1,1,0.0,45.6,0.3,-17.0,1.2
3344,MIT,1,1,0.0,-94.0,2.6,-95.6,1.7
3345,MIT,1,1,0.0,-341.2,6.4,-318.2,5.8
3346,MIT,1,1,0.0,-546.4,9.4,-534.2,8.6
3347,MIT,1,1,0.0,-230.0,6.3,-191.0,3.4
3348,MIT,1,1,0.0,-173.8,4.3,-179.0,2.4
3349,MIT,1,1,0.0,-350.2,7.3,-294.8,5.6
3350,MIT,1,1,0.0,-124.0,2.5,-136.8,2.3
3351,MIT,1,1,0.0,-394.0,7.5,-351.6,6.1
3352,MIT,1,1,0.0,-412.0,9.9,-375.6,5.6
3353,MIT,1,1,0.0,-351.8,5.4,-315.2,3.6
3354,MIT,1,1,0.0,-360.4,6.9,-316.8,6.4
3355,MIT,1,1,0.0,-262.0,5.6,-278.0,4.3
3356,MIT,1,1,0.0,-382.2,6.3,-322.0,5.8
3357,MIT,1,1,0.0,-375.8,7.5,-352.4,6.4
3358,MIT,1,1,0.0,-337.2,7.3,-326.2,5.8
3359,MIT,1,1,0.0,-214.6,4.6,-262.6,4.3
3360,MIT,1,1,0.0,-401.0,6.4,-325.6,7.3
